Labels,Ge-Si-445-em,
Type,Emission Scan,
Comment,,
Start,600.00,
Stop,1300.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.4999220,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.4999950,
Detector,Det2,

1281.000,3.63791046E+2,
1282.000,3.39965454E+2,
1283.000,3.30627808E+2,
1284.000,2.41935471E+2,
1285.000,2.93538666E+2,
1286.000,3.04561462E+2,
1287.000,2.94470062E+2,
1288.000,3.66131287E+2,
1289.000,2.41458557E+2,
1290.00,2.01073807E+2,
1291.000,2.97325043E+2,
1292.000,1.98163025E+2,
1293.000,2.48590683E+2,
1294.000,2.50595734E+2,
1295.000,2.07988937E+2,
1296.000,2.37127121E+2,
1297.000,2.63773041E+2,
1298.000,2.36303513E+2,
1299.000,1.86955139E+2,
1300.00,2.17248688E+2,
