Labels,GA-IN-445-805-EM,
Type,Emission Scan,
Comment,,
Start,600.00,
Stop,1300.00,
Step,1.00,
Fixed/Offset,445.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.4999220,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.4999950,
Detector,Det2,

1245.000,1.30080457E+3,
1246.000,1.32550317E+3,
1247.000,1.29545435E+3,
1248.000,1.24383374E+3,
1249.000,1.25277551E+3,
1250.00,1.31099988E+3,
1251.000,1.24294275E+3,
1252.000,1.16132898E+3,
1253.000,1.15061597E+3,
1254.000,1.18668787E+3,
1255.000,1.14145874E+3,
1256.000,1.14326099E+3,
1257.000,1.04053064E+3,
1258.000,1.01915350E+3,
1259.000,9.37515137E+2,
1260.00,9.87654114E+2,
1261.000,9.73031921E+2,
1262.000,9.01829895E+2,
1263.000,9.10958679E+2,
1264.000,9.36286438E+2,
1265.000,9.49800049E+2,
1266.000,8.71029724E+2,
1267.000,9.14642700E+2,
1268.000,8.70155823E+2,
1269.000,8.24990417E+2,
1270.00,8.04467407E+2,
1271.000,8.15688232E+2,
1272.000,7.74126038E+2,
1273.000,7.60040283E+2,
1274.000,7.71593323E+2,
1275.000,8.36106140E+2,
1276.000,6.74878723E+2,
1277.000,7.68636169E+2,
1278.000,7.36368530E+2,
1279.000,7.54774597E+2,
1280.00,6.83337830E+2,
1281.000,6.72465881E+2,
1282.000,7.15833740E+2,
1283.000,7.03140564E+2,
1284.000,6.41679138E+2,
1285.000,6.92102295E+2,
1286.000,5.87223694E+2,
1287.000,6.45745789E+2,
1288.000,5.76727722E+2,
1289.000,5.59601685E+2,
1290.00,5.99962036E+2,
1291.000,5.58457031E+2,
1292.000,6.55190979E+2,
1293.000,5.63654724E+2,
1294.000,5.47445374E+2,
1295.000,5.88382996E+2,
1296.000,5.43353821E+2,
1297.000,5.72228333E+2,
1298.000,4.59012329E+2,
1299.000,4.38318817E+2,
1300.00,5.79387268E+2,
