Labels,F3-1500-450=EM,
Type,Emission Scan,
Comment,,
Start,650.00,
Stop,1650.00,
Step,1.00,
Fixed/Offset,450.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.9999912,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,4.0000019,
Detector,Det2,

1340.00,3.78920215E+3,
1341.000,3.90864575E+3,
1342.000,4.05820386E+3,
1343.000,4.07875415E+3,
1344.000,4.03620654E+3,
1345.000,4.17535010E+3,
1346.000,4.24758252E+3,
1347.000,4.35049170E+3,
1348.000,4.41995947E+3,
1349.000,4.51988574E+3,
1350.00,4.57583984E+3,
1351.000,4.68047217E+3,
1352.000,4.67072021E+3,
1353.000,4.84563135E+3,
1354.000,4.82381250E+3,
1355.000,5.05722949E+3,
1356.000,5.07845313E+3,
1357.000,5.13098193E+3,
1358.000,5.24288232E+3,
1359.000,5.28170850E+3,
1360.00,5.47661426E+3,
1361.000,5.54810107E+3,
1362.000,5.65802588E+3,
1363.000,5.62010986E+3,
1364.000,5.73820898E+3,
1365.000,5.92109277E+3,
1366.000,5.89225391E+3,
1367.000,5.91472803E+3,
1368.000,6.18264111E+3,
1369.000,6.18858105E+3,
1370.00,6.22388818E+3,
1371.000,6.42220166E+3,
1372.000,6.52198145E+3,
1373.000,6.48959229E+3,
1374.000,6.60768604E+3,
1375.000,6.68588232E+3,
1376.000,6.76037988E+3,
1377.000,6.95105615E+3,
1378.000,6.88075098E+3,
1379.000,6.97825195E+3,
1380.00,7.26518262E+3,
1381.000,7.40599463E+3,
1382.000,7.39650732E+3,
1383.000,7.55653760E+3,
1384.000,7.67053564E+3,
1385.000,7.62331982E+3,
1386.000,7.57917139E+3,
1387.000,7.86468066E+3,
1388.000,7.87954053E+3,
1389.000,8.08069043E+3,
1390.00,8.04404980E+3,
1391.000,8.12086523E+3,
1392.000,8.23065723E+3,
1393.000,8.46060059E+3,
1394.000,8.34759570E+3,
1395.000,8.59108398E+3,
1396.000,8.85531641E+3,
1397.000,8.66073242E+3,
1398.000,8.84457129E+3,
1399.000,8.94756836E+3,
1400.00,9.25410742E+3,
