Labels,425-EM,
Type,Emission Scan,
Comment,,
Start,650.00,
Stop,1700.00,
Step,1.00,
Fixed/Offset,425.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,29.050,
Scan Polariser,None,
Scan Slit,3.9999883,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,4.0000019,
Detector,Det2,

1370.00,1.26657266E+4,
1371.000,1.29204307E+4,
1372.000,1.32097520E+4,
1373.000,1.30009033E+4,
1374.000,1.31139434E+4,
1375.000,1.33364268E+4,
1376.000,1.36640938E+4,
1377.000,1.36727031E+4,
1378.000,1.39867275E+4,
1379.000,1.40344492E+4,
1380.00,1.46810508E+4,
1381.000,1.49865205E+4,
1382.000,1.52698750E+4,
1383.000,1.56413076E+4,
1384.000,1.52807969E+4,
1385.000,1.53265576E+4,
1386.000,1.51031797E+4,
1387.000,1.51575713E+4,
1388.000,1.57039307E+4,
1389.000,1.58652656E+4,
1390.00,1.56706514E+4,
1391.000,1.60314385E+4,
1392.000,1.66466836E+4,
1393.000,1.64649199E+4,
1394.000,1.65515820E+4,
1395.000,1.72674375E+4,
1396.000,1.80040801E+4,
1397.000,1.73887676E+4,
1398.000,1.71347578E+4,
1399.000,1.75196699E+4,
1400.00,1.86399648E+4,
1401.000,1.87332402E+4,
1402.000,1.83374922E+4,
1403.000,1.78192051E+4,
1404.000,1.87292910E+4,
1405.000,1.95591992E+4,
1406.000,1.94655215E+4,
1407.000,1.94644551E+4,
1408.000,1.98099980E+4,
1409.000,1.99501016E+4,
1410.00,2.03140684E+4,
1411.000,1.99312520E+4,
1412.000,1.99665352E+4,
1413.000,2.06798047E+4,
1414.000,2.09959922E+4,
1415.000,2.12357559E+4,
1416.000,2.10364141E+4,
1417.000,2.11391543E+4,
1418.000,2.17470000E+4,
1419.000,2.20417188E+4,
1420.00,2.19760957E+4,
1421.000,2.21676113E+4,
1422.000,2.22599375E+4,
1423.000,2.25292070E+4,
1424.000,2.28587598E+4,
1425.000,2.27484746E+4,
1426.000,2.31566680E+4,
1427.000,2.30080820E+4,
1428.000,2.35210898E+4,
1429.000,2.34576426E+4,
1430.00,2.41172695E+4,
1431.000,2.40325488E+4,
1432.000,2.43039688E+4,
1433.000,2.46593184E+4,
1434.000,2.46397832E+4,
1435.000,2.49014980E+4,
1436.000,2.48937461E+4,
1437.000,2.50078184E+4,
1438.000,2.55022773E+4,
1439.000,2.56965488E+4,
1440.00,2.57998008E+4,
1441.000,2.57891074E+4,
1442.000,2.63455898E+4,
1443.000,2.62710957E+4,
1444.000,2.62547500E+4,
1445.000,2.67457285E+4,
1446.000,2.72156582E+4,
1447.000,2.71756504E+4,
1448.000,2.70147832E+4,
1449.000,2.72073477E+4,
1450.00,2.73946309E+4,
1451.000,2.77973340E+4,
1452.000,2.78401230E+4,
1453.000,2.79824355E+4,
1454.000,2.78688633E+4,
1455.000,2.83831621E+4,
1456.000,2.83919316E+4,
1457.000,2.84325000E+4,
1458.000,2.84540938E+4,
1459.000,2.88508477E+4,
1460.00,2.88307344E+4,
1461.000,2.92713242E+4,
1462.000,2.93890254E+4,
1463.000,2.93392266E+4,
1464.000,2.99066230E+4,
1465.000,2.97214395E+4,
1466.000,2.97841406E+4,
1467.000,3.00540430E+4,
1468.000,2.98661289E+4,
1469.000,3.04320137E+4,
1470.00,3.05317500E+4,
1471.000,3.09307559E+4,
1472.000,3.10570879E+4,
1473.000,3.10852949E+4,
1474.000,3.11495625E+4,
1475.000,3.10976172E+4,
1476.000,3.12775449E+4,
1477.000,3.15432910E+4,
1478.000,3.13720469E+4,
1479.000,3.18065527E+4,
