Labels,RT-2,
Type,Emission Scan,
Comment,,
Start,600.00,
Stop,1300.00,
Step,1.00,
Fixed/Offset,460.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,3.4999192,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,3.4999833,
Detector,Det2,

1222.000,2.09761523E+3,
1223.000,2.15548608E+3,
1224.000,2.05881909E+3,
1225.000,1.99210388E+3,
1226.000,2.00034973E+3,
1227.000,1.98247693E+3,
1228.000,1.94797937E+3,
1229.000,1.95533459E+3,
1230.00,1.87252332E+3,
1231.000,1.80062256E+3,
1232.000,1.82285413E+3,
1233.000,1.83740332E+3,
1234.000,1.79127551E+3,
1235.000,1.74213538E+3,
1236.000,1.67780249E+3,
1237.000,1.72523779E+3,
1238.000,1.69085498E+3,
1239.000,1.68755945E+3,
1240.00,1.55677905E+3,
1241.000,1.62673657E+3,
1242.000,1.59341040E+3,
1243.000,1.61738513E+3,
1244.000,1.57580701E+3,
1245.000,1.50054468E+3,
1246.000,1.52385083E+3,
1247.000,1.51322241E+3,
1248.000,1.46295056E+3,
1249.000,1.40465149E+3,
1250.00,1.44728247E+3,
1251.000,1.43269299E+3,
1252.000,1.36098950E+3,
1253.000,1.33730884E+3,
1254.000,1.32004785E+3,
1255.000,1.25847864E+3,
1256.000,1.27163257E+3,
1257.000,1.24482520E+3,
1258.000,1.20878748E+3,
1259.000,1.18443701E+3,
1260.00,1.12776379E+3,
1261.000,1.17099365E+3,
1262.000,1.13748730E+3,
1263.000,1.13620422E+3,
1264.000,1.12463074E+3,
1265.000,1.09663184E+3,
1266.000,1.08714294E+3,
1267.000,1.07494470E+3,
1268.000,1.06703223E+3,
1269.000,1.03794910E+3,
1270.00,1.03044177E+3,
1271.000,9.72299194E+2,
1272.000,9.63800781E+2,
1273.000,1.02858887E+3,
1274.000,9.28693420E+2,
1275.000,9.14769592E+2,
1276.000,8.77236633E+2,
1277.000,8.92105591E+2,
1278.000,8.95732971E+2,
1279.000,8.67952881E+2,
1280.00,9.18512329E+2,
1281.000,8.22212769E+2,
1282.000,8.49053772E+2,
1283.000,9.01025330E+2,
1284.000,8.23665100E+2,
1285.000,8.74929077E+2,
1286.000,8.28367798E+2,
1287.000,8.06573608E+2,
1288.000,8.26642761E+2,
1289.000,8.05343567E+2,
1290.00,7.76635010E+2,
1291.000,7.30537476E+2,
1292.000,7.57984924E+2,
1293.000,7.43046509E+2,
1294.000,7.48101501E+2,
1295.000,6.80170410E+2,
1296.000,6.56145081E+2,
1297.000,6.70729614E+2,
1298.000,7.31229736E+2,
1299.000,6.77240479E+2,
1300.00,6.45383545E+2,
