Labels,001ni,
Type,Emission Scan,
Comment,,
Start,600.00,
Stop,1650.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,3.9999883,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,4.0000019,
Detector,Det2,

1368.000,1.92229773E+3,
1369.000,1.92660205E+3,
1370.00,1.88559229E+3,
1371.000,2.06257788E+3,
1372.000,2.00135596E+3,
1373.000,1.96708618E+3,
1374.000,2.02386755E+3,
1375.000,2.05837231E+3,
1376.000,2.13008813E+3,
1377.000,2.12145703E+3,
1378.000,2.15336426E+3,
1379.000,2.18875806E+3,
1380.00,2.29600488E+3,
1381.000,2.32764453E+3,
1382.000,2.40188672E+3,
1383.000,2.37873804E+3,
1384.000,2.31583594E+3,
1385.000,2.34038916E+3,
1386.000,2.41793164E+3,
1387.000,2.41373267E+3,
1388.000,2.48940601E+3,
1389.000,2.53282153E+3,
1390.00,2.36326929E+3,
1391.000,2.44779858E+3,
1392.000,2.58318433E+3,
1393.000,2.63161230E+3,
1394.000,2.57427368E+3,
1395.000,2.67237158E+3,
1396.000,2.76390332E+3,
1397.000,2.72531372E+3,
1398.000,2.64788647E+3,
1399.000,2.78703662E+3,
1400.00,2.74811450E+3,
1401.000,2.81007446E+3,
1402.000,2.84408032E+3,
1403.000,2.80908521E+3,
1404.000,2.92097095E+3,
1405.000,3.05104761E+3,
1406.000,2.92150024E+3,
1407.000,2.96763037E+3,
1408.000,3.01789819E+3,
1409.000,3.06657935E+3,
1410.00,3.14037842E+3,
1411.000,3.15025171E+3,
1412.000,3.14431055E+3,
1413.000,3.10455273E+3,
1414.000,3.29351465E+3,
1415.000,3.27447729E+3,
1416.000,3.27259961E+3,
1417.000,3.26249902E+3,
1418.000,3.35609814E+3,
1419.000,3.42533252E+3,
1420.00,3.43935718E+3,
1421.000,3.36198486E+3,
1422.000,3.37663379E+3,
1423.000,3.48536230E+3,
1424.000,3.60871289E+3,
1425.000,3.60457935E+3,
1426.000,3.60567236E+3,
1427.000,3.61927832E+3,
1428.000,3.67393286E+3,
1429.000,3.68811572E+3,
1430.00,3.80538550E+3,
1431.000,3.76030005E+3,
1432.000,3.79262158E+3,
1433.000,3.88591016E+3,
1434.000,3.89853491E+3,
1435.000,3.98952637E+3,
1436.000,3.92236597E+3,
1437.000,4.00599878E+3,
1438.000,3.95807666E+3,
1439.000,3.98117041E+3,
1440.00,4.08729639E+3,
1441.000,4.13053613E+3,
1442.000,4.12037793E+3,
1443.000,4.14834570E+3,
1444.000,4.23498828E+3,
1445.000,4.28291162E+3,
1446.000,4.29792090E+3,
1447.000,4.31025146E+3,
1448.000,4.38970166E+3,
1449.000,4.25646826E+3,
1450.00,4.44215430E+3,
1451.000,4.35197070E+3,
1452.000,4.38774658E+3,
1453.000,4.34556055E+3,
1454.000,4.46350293E+3,
1455.000,4.55784326E+3,
1456.000,4.50885107E+3,
1457.000,4.63628760E+3,
1458.000,4.62989209E+3,
1459.000,4.57767041E+3,
1460.00,4.64989307E+3,
